"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"


"2010","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  5,349 ","  6,001 ","  14,313 ","  12,939 ","  38,602 ","  2,785 ","  41,386 ","  8,265.72 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2011","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  7,377 ","  6,649 ","  18,392 ","  14,784 ","  47,201 ","  3,649 ","  50,850 ","  10,139.64 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2012","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  6,056 ","  5,484 ","  24,558 ","  16,244 ","  52,342 ","  4,626 ","  56,969 ","  11,341.56 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2013","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  8,945 ","  9,323 ","  33,580 ","  17,962 ","  69,809 ","  6,193 ","  76,002 ","  14,666.53 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2014","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  11,091 ","  10,009 ","  36,450 ","  19,632 ","  77,182 ","  6,739 ","  83,921 ","  16,160.36 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2015","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  9,918 ","  8,070 ","  41,693 ","  21,279 ","  80,959 ","  7,589 ","  88,548 ","  17,015.43 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2016","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  16,158 ","  6,855 ","  31,352 ","  22,529 ","  76,894 ","  5,618 ","  82,512 ","  15,822.10 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2017","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  12,632 ","  6,017 ","  28,548 ","  24,814 ","  72,012 ","  5,077 ","  77,088 ","  14,753.76 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2018","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  10,865 ","  3,934 ","  28,000 ","  25,691 ","  68,490 ","  4,787 ","  73,277 ","  14,242.46 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  13,783 ","  8,933 ","  60,658 ","  26,057 ","  109,431 ","  13,124 ","  122,556 ","  23,797.23 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Administração, defesa, educação e saúde públicas e seguridade social"

"2002","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,304 ","  913 ","  4,253 ","  4,752 ","  12,223 ","  724 ","  12,947 ","  2,910.80 "
"2003","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,001 ","  1,083 ","  4,658 ","  5,169 ","  13,910 ","  825 ","  14,736 ","  3,321.86 "
"2004","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,721 ","  1,674 ","  5,258 ","  5,438 ","  16,091 ","  1,017 ","  17,108 ","  3,866.19 "
"2005","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,519 ","  791 ","  4,728 ","  6,144 ","  15,182 ","  926 ","  16,108 ","  3,650.12 "
"2006","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,658 ","  2,027 ","  6,789 ","  6,992 ","  19,467 ","  1,469 ","  20,936 ","  4,756.10 "
"2007","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,030 ","  2,655 ","  6,365 ","  8,446 ","  21,497 ","  1,277 ","  22,774 ","  4,958.35 "
"2008","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  5,053 ","  2,543 ","  7,591 ","  9,854 ","  25,042 ","  1,383 ","  26,425 ","  5,560.81 "
"2009","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  5,712 ","  2,178 ","  7,614 ","  10,432 ","  25,937 ","  1,064 ","  27,001 ","  5,653.49 "
"2010","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  5,686 ","  3,138 ","  9,546 ","  11,761 ","  30,131 ","  1,731 ","  31,862 ","  6,709.15 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2011","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,082 ","  3,126 ","  10,196 ","  13,363 ","  33,767 ","  1,682 ","  35,449 ","  7,417.72 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2012","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,146 ","  4,315 ","  12,943 ","  15,453 ","  39,856 ","  1,866 ","  41,722 ","  8,692.09 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2013","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,800 ","  5,369 ","  14,531 ","  18,052 ","  45,752 ","  1,971 ","  47,723 ","  9,610.01 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2014","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,165 ","  5,982 ","  15,318 ","  19,303 ","  48,767 ","  2,171 ","  50,939 ","  10,206.14 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2015","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,813 ","  5,828 ","  16,575 ","  20,823 ","  51,038 ","  2,633 ","  53,672 ","  10,704.35 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2016","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  9,604 ","  5,952 ","  17,858 ","  22,533 ","  55,947 ","  2,838 ","  58,785 ","  11,673.00 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2017","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,469 ","  3,131 ","  17,616 ","  23,304 ","  51,520 ","  2,237 ","  53,757 ","  10,630.14 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2018","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,276 ","  7,053 ","  21,120 ","  24,332 ","  59,781 ","  3,285 ","  63,066 ","  12,577.94 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2019","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,609 ","  10,095 ","  25,847 ","  24,953 ","  68,503 ","  4,236 ","  72,739 ","  14,449.58 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias de transformação"

"2002","3","Sudeste","31","MG","Minas Gerais","3120904","Curvelo","","3106","Central Mineira","31025","Curvelo","310004","Curvelo","Polo","3101","Belo Horizonte","do Entorno","","","","3120904","Curvelo/MG","Centro de Zona A","Centro de Zona","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  20,722 ","  34,656 ","  143,597 ","  63,194 ","  262,170 ","  28,529 ","  290,699 ","  4,155.69 "
"2003","3","Sudeste","31","MG","Minas Gerais","3120904","Curvelo","","3106","Central Mineira","31025","Curvelo","310004","Curvelo","Polo","3101","Belo Horizonte","do Entorno","","","","3120904","Curvelo/MG","Centro de Zona A","Centro de Zona","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  21,286 ","  38,907 ","  163,442 ","  67,017 ","  290,651 ","  35,476 ","  326,128 ","  4,599.05 "
